time,open,high,low,close,tick_volume,spread,real_volume
2020-03-25 20:00:00,1614.71,1623.71,1612.61,1621.71,1863,280,0
2020-03-26 00:00:00,1620.61,1623.11,1603.21,1608.31,2606,280,0
2020-03-26 04:00:00,1608.31,1616.01,1599.81,1607.01,3034,380,0
2020-03-26 08:00:00,1607.41,1615.07,1599.61,1614.41,8965,0,0
2020-03-26 12:00:00,1614.8,1642.08,1614.69,1634.97,36746,0,0
2020-03-26 16:00:00,1634.99,1644.61,1624.66,1637.58,54763,319,0
2020-03-26 20:00:00,1637.59,1638.12,1614.63,1628.84,25706,319,0
2020-03-27 00:00:00,1631.68,1635.26,1619.54,1624.65,17666,319,0
2020-03-27 04:00:00,1623.54,1630.31,1622.21,1626.81,1937,320,0
2020-03-27 08:00:00,1626.81,1629.11,1612.27,1621.84,19948,114,0
2020-03-27 12:00:00,1621.8,1629.46,1613.99,1623.04,21415,115,0
2020-03-27 16:00:00,1622.88,1629.84,1615.55,1623.8,25169,115,0
2020-03-27 20:00:00,1623.71,1631.32,1617.11,1621.74,7246,129,0
2020-03-30 00:00:00,1634.27,1636.96,1612.33,1617.95,10268,106,0
2020-03-30 04:00:00,1617.99,1622.18,1612.75,1614.6,16259,120,0
2020-03-30 08:00:00,1614.58,1624.01,1610.7,1621.94,19960,115,0
2020-03-30 12:00:00,1621.86,1627.13,1615.34,1619.75,25275,115,0
2020-03-30 16:00:00,1619.81,1624.35,1616.78,1619.76,35938,112,0
2020-03-30 20:00:00,1619.81,1623.26,1611.26,1620.49,26002,115,0
2020-03-31 00:00:00,1621.95,1623.56,1610.94,1613.36,8844,122,0
2020-03-31 04:00:00,1613.53,1618.06,1611.09,1613.42,16713,114,0
2020-03-31 08:00:00,1613.44,1619.22,1603.7,1610.22,20983,115,0
2020-03-31 12:00:00,1610.17,1612.19,1594.14,1604.32,28956,106,0
2020-03-31 16:00:00,1604.27,1613.57,1595.97,1597.57,35126,114,0
2020-03-31 20:00:00,1597.62,1597.83,1573.78,1576.72,29010,114,0
2020-04-01 00:00:00,1575.35,1581.6,1567.65,1580.7,9472,115,0
2020-04-01 04:00:00,1579.97,1588.29,1579.15,1586.46,12777,115,0
2020-04-01 08:00:00,1586.32,1601.21,1583.43,1594.41,22756,114,0
2020-04-01 12:00:00,1594.31,1596.73,1579.95,1584.14,22625,114,0
2020-04-01 16:00:00,1584.25,1594.12,1571.55,1582.7,34078,114,0
2020-04-01 20:00:00,1582.7,1593.14,1577.27,1592.52,22281,115,0
2020-04-02 00:00:00,1588.56,1595.81,1585.4,1586.82,14200,115,0
2020-04-02 04:00:00,1587.47,1587.47,1581.81,1584.59,14197,109,0
2020-04-02 08:00:00,1584.98,1599.82,1582.81,1586.85,29700,109,0
2020-04-02 12:00:00,1586.86,1610.65,1585.49,1601.19,30841,115,0
2020-04-02 16:00:00,1601.13,1614.52,1600.39,1613.14,37131,112,0
2020-04-02 20:00:00,1613.13,1620.55,1608.65,1611.61,24166,114,0
2020-04-03 00:00:00,1612.84,1617.52,1607.49,1609.72,8259,115,0
2020-04-03 04:00:00,1609.67,1614.46,1608.35,1611.98,15688,107,0
2020-04-03 08:00:00,1611.9,1617.49,1606.55,1611.57,24914,106,0
2020-04-03 12:00:00,1611.58,1622.19,1605.64,1609.08,29583,113,0
2020-04-03 16:00:00,1609.07,1621.33,1608.79,1618.5,40408,114,0
2020-04-03 20:00:00,1618.41,1626.08,1615.06,1615.59,20998,114,0
2020-04-06 00:00:00,1616.43,1623.33,1608.79,1617.56,10061,114,0
2020-04-06 04:00:00,1617.57,1620.17,1614.22,1618.2,11419,115,0
2020-04-06 08:00:00,1618.15,1636.47,1615.92,1636.45,23818,115,0
2020-04-06 12:00:00,1636.45,1645.32,1631.92,1642.67,25172,114,0
2020-04-06 16:00:00,1642.55,1652.31,1636.89,1651.87,36279,114,0
2020-04-06 20:00:00,1652.09,1669.63,1650.72,1659.15,28491,113,0
2020-04-07 00:00:00,1660.72,1676.05,1656.92,1662.78,9846,106,0
2020-04-07 04:00:00,1662.42,1665.02,1652.62,1659.22,14349,105,0
2020-04-07 08:00:00,1659.22,1669.3,1643.4,1657.2,27902,114,0
2020-04-07 12:00:00,1657.21,1661.98,1648.6,1656.52,25899,115,0
2020-04-07 16:00:00,1656.66,1658.23,1641.85,1651.1,32032,114,0
2020-04-07 20:00:00,1651.17,1658.73,1642.52,1647.98,23773,114,0
2020-04-08 00:00:00,1645.98,1650.62,1640.62,1647.32,6759,115,0
2020-04-08 04:00:00,1647.32,1652.12,1643.54,1649.52,10284,115,0
2020-04-08 08:00:00,1649.72,1655.99,1641.61,1649.18,20524,114,0
2020-04-08 12:00:00,1649.23,1655.08,1642.23,1650.94,24643,114,0
2020-04-08 16:00:00,1650.93,1656.98,1642.43,1649.48,37333,114,0
2020-04-08 20:00:00,1649.49,1653.38,1643.72,1645.22,14675,105,0
2020-04-09 00:00:00,1644.42,1650.11,1642.81,1647.83,5535,115,0
2020-04-09 04:00:00,1647.84,1650.92,1646.3,1648.93,8981,114,0
2020-04-09 08:00:00,1648.68,1661.16,1647.28,1658.44,21356,114,0
2020-04-09 12:00:00,1658.23,1673.86,1655.04,1673.1,32641,114,0
2020-04-09 16:00:00,1673.16,1687.52,1670.43,1683.16,39672,114,0
2020-04-09 20:00:00,1683.22,1690.25,1674.95,1684.94,28040,114,0
2020-04-13 00:00:00,1683.84,1691.37,1673.36,1685.75,10269,114,0
2020-04-13 04:00:00,1686.06,1687.11,1678.83,1684.85,18279,115,0
2020-04-13 08:00:00,1683.85,1693.02,1679.73,1690.23,18830,114,0
2020-04-13 12:00:00,1689.93,1694.92,1685.69,1690.4,19031,115,0
2020-04-13 16:00:00,1690.51,1714.95,1685.46,1714.09,41217,105,0
2020-04-13 20:00:00,1714.03,1723.17,1711.53,1711.98,24497,110,0
2020-04-14 00:00:00,1712.62,1723.24,1710.99,1715.3,8141,115,0
2020-04-14 04:00:00,1715.31,1727.66,1713.86,1716.2,15533,115,0
2020-04-14 08:00:00,1716.36,1727.31,1707.32,1719.16,27061,107,0
2020-04-14 12:00:00,1719.17,1731.12,1714.62,1729.98,32098,110,0
2020-04-14 16:00:00,1730.0,1747.63,1724.89,1734.15,43979,114,0
2020-04-14 20:00:00,1734.15,1739.57,1720.26,1726.54,32276,112,0
2020-04-15 00:00:00,1728.02,1730.4,1721.39,1727.76,7882,114,0
2020-04-15 04:00:00,1727.79,1731.77,1719.63,1723.61,12770,115,0
2020-04-15 08:00:00,1723.75,1727.66,1707.33,1712.23,28869,115,0
2020-04-15 12:00:00,1712.5,1725.39,1709.93,1716.33,34874,114,0
2020-04-15 16:00:00,1716.31,1726.84,1708.97,1713.63,43394,114,0
2020-04-15 20:00:00,1713.63,1724.15,1710.62,1716.56,25910,114,0
2020-04-16 00:00:00,1716.95,1720.18,1712.42,1717.39,8084,115,0
2020-04-16 04:00:00,1717.57,1720.6,1712.01,1714.86,14726,115,0
2020-04-16 08:00:00,1714.72,1726.33,1713.82,1723.2,29083,114,0
2020-04-16 12:00:00,1723.18,1738.73,1718.69,1725.43,43529,114,0
